エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
13クリック目,瀬川幸治,"それにボクが、なんで道明さんを殺害しなくてはならないのですか！
どこにボクが犯人だという証拠があるんですか！？",,,,,,,,,,,,左：非表示,,,
14クリック目,遠山和葉,"せやで、おっちゃん…
それになんで突き落とした後に井戸に降りなあかんの？",1,遠山和葉,11,,,,,,,,,,,,
15クリック目,毛利小五郎,そう慌てないで…まずはなぜあなたが井戸の底に降りなくてはならなかったのかから、説明しましょう…,,,,16,毛利小五郎,4,,,,,,,,,
16クリック目,毛利小五郎,"ところで瀬川さん、カメラマンであるあなたは、愛用のカメラをいつも肌身離さず
持っていると言ってましたね？",,非表示,0,,,,,,,,,,,,
17クリック目,瀬川幸治,ええ…大事な商売道具ですから…でも、それが何か？,,,,5,瀬川幸治,79,,,,,,,,,
18クリック目,毛利小五郎,道明さんを殺したときも、そのカメラを持っていたのでしょうね…,,,,16,毛利小五郎,4,,,,,,,,,
19クリック目,瀬川幸治,えっ…！？,,,,5,瀬川幸治,79,,,,,,,,,
20クリック目,毛利小五郎,"あなたに突き落された直後、道明さんはとっさにあなたの肩にかけたカメラの
ストラップを掴んだんでしょう…",,,,16,毛利小五郎,4,,,,,,,,,
21クリック目,服部平次,そして強く握ったときに、手に傷がついて…,,,,5,瀬川幸治,79,15,服部平次,5,,,,,,
22クリック目,服部平次,道明氏と共にカメラが井戸に落ちてしもたんやろ…,,,,,,,,,,,,,,,
23クリック目,服部平次,"あんたは、それを拾うために井戸に降りた…
さすがに商売道具のカメラが道明氏と井戸に落ちとったら言い逃れ出来へんからな…",,,,,,,,,,,,,,,
24クリック目,毛利小五郎,"綾小路警部…道明さんの検視結果を調べれば一致するはずですよ…
手のひらの傷跡と、ストラップの幅…",1,綾小路文麿,36,16,毛利小五郎,4,,,,,,,,,
25クリック目,毛利小五郎,"そして、その瀬川さんのカメラのストラップに黒い染みとして残った…
道明さんの血痕がね！！",,,,,,,,,,,,,,,
26クリック目,瀬川幸治,……！？,,,,5,瀬川幸治,79,,,,,,,,,
27クリック目,服部平次,"井戸に落ちたとき、ストラップも水につかって濡れてしもたんやろ…
元々ストラップも黒っぽいし、気づかんかったんやろな…",,,,,,,1,服部平次,5,,,,,,
28クリック目,瀬川幸治,はっ…！？こ、これは…！,,,,,,,,,,,,,,,
29クリック目,綾小路文麿,"ご協力いただけますな、瀬川はん？
…あんさんが犯人やないと言いはるのならそのカメラ、調べさせてもらいます！",,,,,,,,,,,,,,,
30クリック目,毛利小五郎,これ以上、言い逃れをしても無駄だと思いますよ……瀬川さん！,,,,16,毛利小五郎,4,,,,,,,,,
31クリック目,瀬川幸治,…くっ…！その通りだ…鷹梨道明…自分の実の父親を殺したのは、この僕だ…,,,,5,瀬川幸治,79,,,,,,,,,
32クリック目,服部平次,やっぱ、親父やったんか…,,,,,,,7,服部平次,5,,,,,,
33クリック目,瀬川幸治,"本当は殺すつもりはなかった…
ただ、長い間思っていた、僕の怒りをぶつけるだけでよかったんだ…",,,,,,,,,,,,,,,
34クリック目,瀬川幸治,"そして、ただ土下座して、僕と、苦労して僕を育ててくれた母さんに、謝ってくれれば、
それだけでよかったんだ…",,,,,,,,,,,,,,,
35クリック目,毛利蘭,じゃあ、どうして殺すようなことを…？,7,毛利蘭,8,,,,,,,,,,,,
36クリック目,瀬川幸治,"アイツは冷たく言い放ったんだよ…お前のような家族は知らない…
みどりなんていう女は忘れたと…だから、カッとなって…",,,,,,,,,,,,,,,
37クリック目,服部平次,それで道明さんを突き飛ばして、井戸に落としたっちゅうわけか…,,,,,,,,,,,,,,,
38クリック目,綾小路文麿,しかし…殺してしもたんなら、なんでロープもすぐ片付けて京都を離れたほうが…,7,綾小路文麿,36,,,,,,,,,,,,
39クリック目,瀬川幸治,"一緒に井戸に落ちたカメラだけを拾って、庭の隅にロープを捨て…
勝手口から逃げたんだ…",,,,,,,,,,,,,,,
40クリック目,鷹梨路子,ひどい…ひどいわ！お父さんを殺すなんて…！,5,鷹梨路子,78,,,,,,,,,,,,
41クリック目,瀬川幸治,"アイツが昔、お袋に書いた手紙に書いてあった…
「比翼の鳥のように、君と僕とは永遠に一緒だ」と…そんなのはウソだったんだ！",,,,,,,,,,,,,,,
42クリック目,遠山和葉,手紙って…道明さんの日記に書いてあった、あの…,,,,,,,1,遠山和葉,11,,,,,,
43クリック目,瀬川幸治,"だから、この家にある比翼の鳥の屏風絵の前で、アイツをののしってやったんだ！
アイツが…あんなことさえ言わなければ…",,,,,,,,,,,,,,,
44クリック目,毛利小五郎,瀬川さん…あなたは、道明さんは多額の負債をかかえていた事を知っていましたか？,,非表示,0,16,毛利小五郎,4,,非表示,0,,,,,,
45クリック目,瀬川幸治,え…負債…？,,,,5,瀬川幸治,79,,,,,,,,,
46クリック目,毛利小五郎,"もし、あなたが道明さんの息子だと明らかになれば、その負債もあなたに
のしかかってしまう…",,,,16,毛利小五郎,4,,,,,,,,,
47クリック目,江戸川コナン,"もしかしたら道明さんは、
ただでさえ苦労させたはずのあなたに、また負債を負わせるのを避けたかったのではないですか…？",,,,16,江戸川コナン,3,,,,,,,,,
48クリック目,瀬川幸治,まさか…まさか…そんな…そんなぁー！！,,,,5,瀬川幸治,79,,,,,,,,,
